commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Le problème est que l’application ne permet pas de changer mon e-mail, j’ai peut-être fait une erreur et je ne trouve pas comment le modifier.;","Le problème est que l’application ne permet pas de changer mon e-mail, j’ai peut-être fait une erreur et je ne trouve pas comment le modifier.","Le problème est que l’application ne permet pas de changer mon e-mail, j’ai peut-être fait une erreur et je ne trouve pas comment le modifier.",problème application changer e-mail peut-être erreur trouver modifier,problème application changer e-mail peut-être erreur trouve modifier,négatif,problème réseau
"À Sétif, on attend toujours les modems !!!!;","À Sétif, on attend toujours les modems !!!!","À Sétif, on attend toujours les modems !!!!",sétif attendre modem,sétif attend modems,négatif,problème réseau
"Corrigez-nous la connexion, c’est une catastrophe.;","Corrigez-nous la connexion, c’est une catastrophe.","Corrigez-nous la connexion, c’est une catastrophe.",corrigez nous connexion catastrophe,corrigez -nous connexion catastrophe,négatif,problème réseau
"J’ai fait une demande électronique pour Idoom il y a un mois, quand vais-je recevoir le produit ?;","J’ai fait une demande électronique pour Idoom il y a un mois, quand vais-je recevoir le produit ?","J’ai fait une demande électronique pour Idoom il y a un mois, quand vais-je recevoir le produit ?",demande électronique idoom mois je recevoir produit,demande électronique idoom mois -je recevoir produit,négatif,offres commerciales
"Depuis juillet j’attends, j’ai un contrat de 100 Mbps, mais à l’agence on me dit qu’il n’y a pas de modem. Comment résilier mon abonnement et récupérer mon dossier ?;","Depuis juillet j’attends, j’ai un contrat de 100 Mbps, mais à l’agence on me dit qu’il n’y a pas de modem. Comment résilier mon abonnement et récupérer mon dossier ?","Depuis juillet j’attends, j’ai un contrat de 100 Mbps, mais à l’agence on me dit qu’il n’y a pas de modem. Comment résilier mon abonnement et récupérer mon dossier ?",juillet attend contrat 100 mbps agence modem résilier abonnement récupérer dossier,juillet attends contrat 100 mbps agence modem résilier abonnement récupérer dossier,négatif,problème réseau
"Cette application n’a jamais marché, donc…;","Cette application n’a jamais marché, donc…","Cette application n’a jamais marché, donc…",application jamais marcher,application jamais marché,négatif,offres commerciales
Toujours au plus proche.;,Toujours au plus proche.,Toujours au plus proche.,,,positif,
"Ça fait 4 mois que ça ne veut pas accepter mon code, mon mail ni l’espace client. Que faire ?;","Ça fait 4 mois que ça ne veut pas accepter mon code, mon mail ni l’espace client. Que faire ?","Ça fait 4 mois que ça ne veut pas accepter mon code, mon mail ni l’espace client. Que faire ?",4 mois vouloir accepter code mail espace client faire,4 mois veut accepter code mail espace client faire,négatif,problème réseau
Pourquoi ne pas ajouter une fonction pour couper et relancer internet depuis l’app ?;,Pourquoi ne pas ajouter une fonction pour couper et relancer internet depuis l’app ?,Pourquoi ne pas ajouter une fonction pour couper et relancer internet depuis l’app ?,ajouter fonction couper relancer internet app,ajouter fonction couper relancer internet app,positif,
"Quartier Ben Rahmoun, Gouraya, wilaya de Boumerdès, vous nous avez oubliés.;","Quartier Ben Rahmoun, Gouraya, wilaya de Boumerdès, vous nous avez oubliés.","Quartier Ben Rahmoun, Gouraya, wilaya de Boumerdès, vous nous avez oubliés.",quartier ben rahmoun gouraya wilaya boumerdès avoir oublier,quartier ben rahmoun gouraya wilaya boumerdès avez oubliés,négatif,infrastructure
L’application est bloquée et ne fonctionne pas.;,L’application est bloquée et ne fonctionne pas.,L’application est bloquée et ne fonctionne pas.,application bloquer fonctionner,application bloquée fonctionne,négatif,problème réseau
Une des meilleures applications locales.;,Une des meilleures applications locales.,Une des meilleures applications locales.,meilleur application local,meilleures applications locales,positif,
"Rien ne marche, tout est bloqué. Vérifiez où est le bug.;","Rien ne marche, tout est bloqué. Vérifiez où est le bug.","Rien ne marche, tout est bloqué. Vérifiez où est le bug.",rien marche bloquer vérifiez bug,rien marche bloqué vérifiez bug,négatif,problème réseau
"Je recharge toujours via la carte Edahabia, normalement il y a des jours offerts, mais je n’en ai jamais bénéficié. Une explication svp ?;","Je recharge toujours via la carte Edahabia, normalement il y a des jours offerts, mais je n’en ai jamais bénéficié. Une explication svp ?","Je recharge toujours via la carte Edahabia, normalement il y a des jours offerts, mais je n’en ai jamais bénéficié. Une explication svp ?",recharger carte edahabia normalement jour offrir jamais bénéficier explication svp,recharge carte edahabia normalement jours offerts jamais bénéficié explication svp,négatif,problème réseau
"Excellent, merci Algérie Télécom. Chaque jour de nouvelles offres, mais en zones reculées, les modems fibre ne sont plus disponibles depuis plus de six mois… une catastrophe.;","Excellent, merci Algérie Télécom. Chaque jour de nouvelles offres, mais en zones reculées, les modems fibre ne sont plus disponibles depuis plus de six mois… une catastrophe.","Excellent, merci Algérie Télécom. Chaque jour de nouvelles offres, mais en zones reculées, les modems fibre ne sont plus disponibles depuis plus de six mois… une catastrophe.",excellent algérie télécom jour nouveau offre zone reculer modem fibr disponible mois catastrophe,excellent algérie télécom jour nouvelles offres zones reculées modems fibre disponibles mois catastrophe,positif,
"Ajoutez la fonction pause/reprise, c’est mieux que de faire la queue à l’agence.;","Ajoutez la fonction pause/reprise, c’est mieux que de faire la queue à l’agence.","Ajoutez la fonction pause/reprise, c’est mieux que de faire la queue à l’agence.",ajoutez fonction paus reprise mieux faire queue agence,ajoutez fonction pause reprise mieux faire queue agence,positif,
"Bonjour, je ne trouve pas le numéro de client.;","Bonjour, je ne trouve pas le numéro de client.","Bonjour, je ne trouve pas le numéro de client.",bonjour trouver numéro client,bonjour trouve numéro client,négatif,problème réseau
"Mon compte a été fermé, je veux en créer un nouveau. Merci de résoudre ce problème.;","Mon compte a été fermé, je veux en créer un nouveau. Merci de résoudre ce problème.","Mon compte a été fermé, je veux en créer un nouveau. Merci de résoudre ce problème.",compte être fermer vouloir créer résoudre problème,compte été fermé veux créer résoudre problème,positif,
"Je suis sans internet depuis une semaine, où dois-je me plaindre ?;","Je suis sans internet depuis une semaine, où dois-je me plaindre ?","Je suis sans internet depuis une semaine, où dois-je me plaindre ?",internet semaine devoir je plaindre,internet semaine dois -je plaindre,négatif,problème réseau
Rien ne marche du tout.;,Rien ne marche du tout.,Rien ne marche du tout.,rien marche,rien marche,négatif,offres commerciales
"Avant ça fonctionnait normalement, maintenant plus rien.;","Avant ça fonctionnait normalement, maintenant plus rien.","Avant ça fonctionnait normalement, maintenant plus rien.",fonctionner normalement rien,fonctionnait normalement rien,neutre,
"Ça bloque depuis un mois, impossible de se connecter.;","Ça bloque depuis un mois, impossible de se connecter.","Ça bloque depuis un mois, impossible de se connecter.",bloqu mois impossible connecter,bloque mois impossible connecter,négatif,problème réseau
"Aucun travail terminé : pas de fibre, pas d’Idoom 4.;","Aucun travail terminé : pas de fibre, pas d’Idoom 4.","Aucun travail terminé : pas de fibre, pas d’Idoom 4.",aucun travail terminer fibre idoom 4,aucun travail terminé fibre idoom 4,neutre,
"Oui, j’ai essayé l’application et je suis satisfaite des services proposés.;","Oui, j’ai essayé l’application et je suis satisfaite des services proposés.","Oui, j’ai essayé l’application et je suis satisfaite des services proposés.",oui essayer application satisfaire service proposer,oui essayé application satisfaite services proposés,positif,
"Internet coupée depuis ce matin. On a contacté le service client, pas de réponse. Wilaya de Béchar et ses environs, sinistrés.;","Internet coupée depuis ce matin. On a contacté le service client, pas de réponse. Wilaya de Béchar et ses environs, sinistrés.","Internet coupée depuis ce matin. On a contacté le service client, pas de réponse. Wilaya de Béchar et ses environs, sinistrés.",internet couper matin contacter service client réponse wilaya béchar environ sinistré,internet coupée matin contacté service client réponse wilaya béchar environs sinistrés,négatif,problème réseau
"Mais il y a un problème avec votre application, elle ne marche pas. Soit vous la réparez, soit vous faites une mise à jour. Je n’arrive pas à accéder à l’espace client.;","Mais il y a un problème avec votre application, elle ne marche pas. Soit vous la réparez, soit vous faites une mise à jour. Je n’arrive pas à accéder à l’espace client.","Mais il y a un problème avec votre application, elle ne marche pas. Soit vous la réparez, soit vous faites une mise à jour. Je n’arrive pas à accéder à l’espace client.",problème application marche réparer fait mise jour arriver accéder espace client,problème application marche réparez faites mise jour arrive accéder espace client,négatif,service client
Application HS depuis plus de 3 mois.;,Application HS depuis plus de 3 mois.,Application HS depuis plus de 3 mois.,application hs 3 mois,application hs 3 mois,négatif,problème réseau
"Apportez-nous les modems, s’il vous plaît.;","Apportez-nous les modems, s’il vous plaît.","Apportez-nous les modems, s’il vous plaît.",apportez nous modem plaire,apportez -nous modems plaît,positif,
Merci.;,Merci.,Merci.,,,positif,
J’ai perdu le code de l’application et je n’ai pas trouvé de solution. Aidez-nous svp.;,J’ai perdu le code de l’application et je n’ai pas trouvé de solution. Aidez-nous svp.,J’ai perdu le code de l’application et je n’ai pas trouvé de solution. Aidez-nous svp.,perdre code application trouver solution aider nous svp,perdu code application trouvé solution aidez -nous svp,négatif,problème réseau
Ne veut pas s’ouvrir.;,Ne veut pas s’ouvrir.,Ne veut pas s’ouvrir.,vouloir ouvrir,veut ouvrir,négatif,offres commerciales
Pas de bouton pour télécharger la facture.;,Pas de bouton pour télécharger la facture.,Pas de bouton pour télécharger la facture.,bouton télécharger facture,bouton télécharger facture,neutre,
"Je paye toujours via l’app, mais je n’ai jamais reçu de bonus.;","Je paye toujours via l’app, mais je n’ai jamais reçu de bonus.","Je paye toujours via l’app, mais je n’ai jamais reçu de bonus.",payer app jamais recevoir bonus,paye app jamais reçu bonus,neutre,
"J’ai téléchargé l’app depuis Google Play, elle ne fonctionne pas. Elle marche seulement depuis le navigateur.;","J’ai téléchargé l’app depuis Google Play, elle ne fonctionne pas. Elle marche seulement depuis le navigateur.","J’ai téléchargé l’app depuis Google Play, elle ne fonctionne pas. Elle marche seulement depuis le navigateur.",télécharger app google play fonctionner marche navigateur,téléchargé app google play fonctionne marche navigateur,négatif,problème réseau
